subject,time
1900084,time024
1900084,time001
3403059,time021
3403059,time001
4498193,time018
4498193,time001
5349023,time020
5349023,time001
1894914,time020
1894914,time001
4118191,time029
4118191,time001
3697977,time022
3697977,time001
4967175,time023
4967175,time001
3869320,time025
3869320,time001
4800573,time023
4800573,time001
3866870,time025
3866870,time001
5384356,time021
5384356,time001
3717653,time018
3717653,time001
1732187,time001
1732187,time016
4399685,time021
4399685,time001
2427902,time024
2427902,time001
4444521,time017
4444521,time001
2875437,time023
2875437,time001
3802673,time022
3802673,time001
4674180,time024
4674180,time001
2817382,time023
2817382,time001
5191058,time019
5191058,time001
3538724,time020
3538724,time001
1132329,time023
1132329,time001
2031541,time026
2031541,time001
2749084,time027
2749084,time001
3198880,time022
3198880,time001
2051122,time022
2051122,time001
4335617,time021
4335617,time001
5530584,time023
5530584,time001
4633267,time024
4633267,time001
3538992,time024
3538992,time001
3256771,time020
3256771,time001
2863887,time019
2863887,time001
3451934,time001
3451934,time016
2025475,time024
2025475,time001
1502926,time021
1502926,time001
4376289,time024
4376289,time001
3116460,time022
3116460,time001
2497832,time023
2497832,time001
4895470,time023
4895470,time001
1772631,time030
1772631,time001
2162831,time026
2162831,time001
2156079,time017
2156079,time001
4008549,time022
4008549,time001
2017750,time022
2017750,time001
1039245,time022
1039245,time001
4275395,time014
4275395,time001
3515438,time026
3515438,time001
4012217,time018
4012217,time001
5826948,time021
5826948,time001
4934292,time020
4934292,time001
1047651,time021
1047651,time001
5842776,time021
5842776,time001
3049434,time026
3049434,time001
2507745,time020
2507745,time001
1850964,time025
1850964,time001
1079385,time021
1079385,time001
4577911,time021
4577911,time001
2510601,time023
2510601,time001
4850013,time022
4850013,time001
1032082,time020
1032082,time001
1780533,time024
1780533,time001
2538632,time022
2538632,time001
3970949,time031
3970949,time001
4964790,time023
4964790,time001
2912930,time025
2912930,time001
2122550,time020
2122550,time001
3915272,time020
3915272,time001
1891698,time001
1891698,time028
4224502,time025
4224502,time001
2225530,time022
2225530,time001
4816372,time001
4816372,time016
3103697,time020
3103697,time001
2303790,time019
2303790,time001
2211327,time019
2211327,time001
3388844,time017
3388844,time001
4502208,time021
4502208,time001
2394655,time023
2394655,time001
2642036,time026
2642036,time001
3836022,time020
3836022,time001
1720858,time025
1720858,time001
2405693,time020
2405693,time001
5433785,time019
5433785,time001
5226161,time021
5226161,time001
4345399,time022
4345399,time001
4619705,time020
4619705,time001
4650223,time024
4650223,time001
1460205,time023
1460205,time001
5911159,time019
5911159,time001
2620440,time023
2620440,time001
5517251,time024
5517251,time001
4297041,time001
3929423,time022
3929423,time001
1839574,time019
1839574,time001
3889387,time022
3889387,time001
5534444,time026
5534444,time001
1028892,time021
1028892,time001
2356446,time023
2356446,time001
1431717,time020
1431717,time001
2721860,time020
2721860,time001
2477192,time022
2477192,time001
3221694,time026
3221694,time001
1341120,time021
1341120,time001
5587323,time026
5587323,time001
2990203,time030
2990203,time001
1897705,time015
1897705,time001
5030664,time021
5030664,time001
2608959,time018
2608959,time001
1159143,time017
1159143,time001
4545679,time022
4545679,time001
4316926,time019
4316926,time001
2660094,time022
2660094,time001
4645415,time026
4645415,time001
2461715,time023
2461715,time001
4882930,time017
4882930,time001
2846751,time023
2846751,time001
1602533,time024
1602533,time001
1368705,time021
1368705,time001
4752719,time017
4752719,time001
2340638,time017
2340638,time001
5632645,time026
5632645,time001
4867878,time022
4867878,time001
2080044,time022
2080044,time001
3692483,time024
3692483,time001
5050908,time001
5050908,time016
2812478,time024
2812478,time001
5577636,time022
5577636,time001
3384648,time020
3384648,time001
1880493,time022
1880493,time001
3775879,time022
3775879,time001
5034699,time001
2462462,time022
2462462,time001
1181757,time020
1181757,time001
2228081,time023
2228081,time001
1928864,time022
1928864,time001
1228404,time021
1228404,time001
1822767,time023
1822767,time001
2191249,time022
2191249,time001
4778802,time026
4778802,time001
5977910,time023
5977910,time001
4715592,time026
4715592,time001
3471530,time023
3471530,time001
4531605,time023
4531605,time001
3987678,time019
3987678,time001
1601101,time019
1601101,time001
1423462,time023
1423462,time001
4722187,time021
4722187,time001
3777477,time024
3777477,time001
1144818,time025
1144818,time001
5183210,time029
5183210,time001
5825708,time018
5825708,time001
3101611,time023
3101611,time001
3958527,time029
3958527,time001
5697346,time021
5697346,time001
1637449,time024
1637449,time001
4979781,time024
4979781,time001
3249813,time018
3249813,time001
1918825,time026
1918825,time001
2794821,time022
2794821,time001
5737779,time022
5737779,time001
3190241,time022
3190241,time001
5943035,time022
5943035,time001
4351044,time019
4351044,time001
3432794,time018
3432794,time001
2660295,time025
2660295,time001
1967729,time027
1967729,time001
5048247,time021
5048247,time001
4853105,time020
4853105,time001
3465013,time022
3465013,time001
5640533,time015
5640533,time001
1755359,time022
1755359,time001
3914595,time001
3914595,time028
3162230,time024
3162230,time001
1861316,time018
1861316,time001
2636161,time022
2636161,time001
4720810,time019
4720810,time001
3250767,time020
3250767,time001
4991681,time022
4991681,time001
2310316,time018
2310316,time001
1857752,time020
1857752,time001
4073537,time022
4073537,time001
5744372,time018
5744372,time001
2770017,time023
2770017,time001
1924204,time022
1924204,time001
3807883,time025
3807883,time001
5969953,time022
5969953,time001
3817772,time001
2813931,time022
2813931,time001
1843276,time022
1843276,time001
1247775,time018
1247775,time001
1737495,time026
1737495,time001
1946809,time026
1946809,time001
5788512,time021
5788512,time001
4700606,time015
4700606,time001
3429701,time024
3429701,time001
2946299,time021
2946299,time001
3310232,time022
3310232,time001
1075716,time026
1075716,time001
2161299,time021
2161299,time001
2287369,time022
2287369,time001
4708108,time024
4708108,time001
1198603,time022
1198603,time001
4518134,time022
4518134,time001
5921135,time022
5921135,time001
4136297,time022
4136297,time001
1070080,time024
1070080,time001
3915752,time024
3915752,time001
4717695,time023
4717695,time001
5278823,time024
5278823,time001
1956140,time025
1956140,time001
2384034,time020
2384034,time001
1902646,time020
1902646,time001
1032859,time024
1032859,time001
4186209,time019
4186209,time001
1954858,time022
1954858,time001
1555706,time019
1555706,time001
5008183,time017
5008183,time001
4891704,time025
4891704,time001
5017465,time023
5017465,time001
4795657,time020
4795657,time001
1193174,time024
1193174,time001
2510192,time021
2510192,time001
5540292,time017
5540292,time001
2347700,time022
2347700,time001
1814662,time018
1814662,time001
2038214,time014
2038214,time001
5275040,time001
2595495,time023
2595495,time001
4046219,time001
4046219,time028
2502393,time022
2502393,time001
2197381,time017
2197381,time001
5811536,time020
5811536,time001
3525418,time019
3525418,time001
3016477,time001
3016477,time016
1426387,time026
1426387,time001
4932271,time021
4932271,time001
4999177,time024
4999177,time001
2953976,time021
2953976,time001
5230225,time023
5230225,time001
2679691,time027
2679691,time001
1744691,time022
1744691,time001
3087494,time020
3087494,time001
1413101,time001
2222188,time022
2222188,time001
4623914,time023
4623914,time001
5807935,time025
5807935,time001
3557927,time021
3557927,time001
5259125,time022
5259125,time001
3829119,time021
3829119,time001
2114698,time020
2114698,time001
5153448,time020
5153448,time001
2631855,time021
2631855,time001
3164413,time020
3164413,time001
5998159,time022
5998159,time001
3431186,time022
3431186,time001
2350520,time025
2350520,time001
2042477,time017
2042477,time001
5699952,time020
5699952,time001
4237230,time019
4237230,time001
5565318,time027
5565318,time001
3684029,time022
3684029,time001
5312550,time020
5312550,time001
5117688,time025
5117688,time001
2161632,time021
2161632,time001
4187605,time022
4187605,time001
5895936,time029
5895936,time001
2601387,time027
2601387,time001
1074303,time020
1074303,time001
5654163,time030
5654163,time001
3765149,time022
3765149,time001
2947109,time020
2947109,time001
2695037,time025
2695037,time001
2043503,time017
2043503,time001
2102145,time026
2102145,time001
2202029,time020
2202029,time001
2510982,time021
2510982,time001
1135078,time021
1135078,time001
4772266,time023
4772266,time001
1292586,time021
1292586,time001
4696695,time026
4696695,time001
4444557,time018
4444557,time001
1567316,time001
5228456,time023
5228456,time001
2227273,time024
2227273,time001
5868340,time023
5868340,time001
4957128,time020
4957128,time001
2033280,time023
2033280,time001
4581215,time029
4581215,time001
3978633,time022
3978633,time001
2252016,time025
2252016,time001
2898939,time022
2898939,time001
1725666,time018
1725666,time001
3978955,time024
3978955,time001
2049223,time019
2049223,time001
4122398,time022
4122398,time001
4597730,time019
4597730,time001
2760101,time020
2760101,time001
1634239,time020
1634239,time001
2312319,time022
2312319,time001
3692175,time026
3692175,time001
4510971,time025
4510971,time001
2318896,time022
2318896,time001
3905365,time025
3905365,time001
3055527,time022
3055527,time001
3033778,time019
3033778,time001
5910905,time021
5910905,time001
2754395,time025
2754395,time001
3335748,time020
3335748,time001
4942392,time021
4942392,time001
5830793,time023
5830793,time001
1846348,time029
1846348,time001
1460546,time022
1460546,time001
2490613,time023
2490613,time001
3032372,time021
3032372,time001
1065646,time022
1065646,time001
5754218,time022
5754218,time001
5541762,time024
5541762,time001
5330904,time022
5330904,time001
5946355,time022
5946355,time001
4744515,time027
4744515,time001
1554204,time026
1554204,time001
2081171,time027
2081171,time001
3570873,time018
3570873,time001
4209783,time027
4209783,time001
5899562,time026
5899562,time001
2438363,time018
2438363,time001
2244779,time024
2244779,time001
2936342,time019
2936342,time001
4702584,time021
4702584,time001
2987133,time001
2647018,time020
2647018,time001
6013959,time019
6013959,time001
2688292,time023
2688292,time001
2212560,time022
2212560,time001
3095978,time001
5597539,time020
5597539,time001
2712137,time018
2712137,time001
3720596,time023
3720596,time001
5882956,time023
5882956,time001
5165701,time020
5165701,time001
3621327,time023
3621327,time001
2157173,time023
2157173,time001
1574783,time019
1574783,time001
4132488,time018
4132488,time001
5078235,time025
5078235,time001
2184521,time026
2184521,time001
1080880,time022
1080880,time001
3646473,time021
3646473,time001
3909324,time027
3909324,time001
4525617,time022
4525617,time001
3037883,time022
3037883,time001
5571776,time023
5571776,time001
1542012,time025
1542012,time001
5382197,time020
5382197,time001
2837997,time020
2837997,time001
2628355,time029
2628355,time001
1846575,time001
1846575,time016
5425809,time020
5425809,time001
3940990,time026
3940990,time001
3909015,time023
3909015,time001
1734925,time019
1734925,time001
2770746,time024
2770746,time001
1951759,time024
1951759,time001
4539212,time019
4539212,time001
5117865,time026
5117865,time001
1989228,time023
1989228,time001
2820952,time022
2820952,time001
4857822,time017
4857822,time001
2541810,time023
2541810,time001
4852907,time001
4957576,time021
4957576,time001
2439357,time024
2439357,time001
2304924,time018
2304924,time001
5702764,time023
5702764,time001
2354478,time017
2354478,time001
5958706,time022
5958706,time001
2962502,time019
2962502,time001
4010509,time022
4010509,time001
5265255,time021
5265255,time001
5680574,time021
5680574,time001
2081933,time023
2081933,time001
4296359,time024
4296359,time001
5498950,time026
5498950,time001
5634600,time023
5634600,time001
1509022,time020
1509022,time001
2388013,time020
2388013,time001
5077068,time023
5077068,time001
5997264,time023
5997264,time001
1355310,time022
1355310,time001
6024464,time022
6024464,time001
1423652,time023
1423652,time001
1570148,time022
1570148,time001
4686739,time024
4686739,time001
4077724,time018
4077724,time001
1137879,time023
1137879,time001
3491045,time024
3491045,time001
4190202,time001
2410643,time023
2410643,time001
5089117,time024
5089117,time001
4805481,time021
4805481,time001
2333345,time020
2333345,time001
2142903,time001
2142903,time016
1796436,time020
1796436,time001
5662342,time023
5662342,time001
3060922,time029
3060922,time001
5157181,time019
5157181,time001
4611319,time001
4611319,time028
5194686,time023
5194686,time001
1900135,time025
1900135,time001
4824200,time020
4824200,time001
1905876,time026
1905876,time001
3690678,time019
3690678,time001
3475119,time018
3475119,time001
3428383,time025
3428383,time001
3778581,time022
3778581,time001
4383605,time021
4383605,time001
5728799,time024
5728799,time001
4845885,time022
4845885,time001
1540464,time021
1540464,time001
4646887,time022
4646887,time001
3609833,time023
3609833,time001
5287939,time027
5287939,time001
2349557,time020
2349557,time001
3327442,time026
3327442,time001
4247083,time021
4247083,time001
4375450,time024
4375450,time001
2214107,time022
2214107,time001
5427262,time025
5427262,time001
4800966,time020
4800966,time001
5220921,time021
5220921,time001
3465855,time024
3465855,time001
4064876,time026
4064876,time001
1140046,time020
1140046,time001
4762789,time025
4762789,time001
3115785,time023
3115785,time001
2138046,time021
2138046,time001
5920122,time024
5920122,time001
4094413,time018
4094413,time001
5089561,time022
5089561,time001
1220558,time018
1220558,time001
4027306,time023
4027306,time001
2823204,time023
2823204,time001
1584654,time026
1584654,time001
4963356,time022
4963356,time001
2198468,time025
2198468,time001
4616504,time021
4616504,time001
1499861,time024
1499861,time001
1388194,time024
1388194,time001
3336803,time024
3336803,time001
3753474,time027
3753474,time001
1463040,time022
1463040,time001
3627498,time024
3627498,time001
4094525,time026
4094525,time001
4592809,time017
4592809,time001
1388634,time022
1388634,time001
3919629,time023
3919629,time001
2102816,time001
2102816,time028
1696317,time030
1696317,time001
4320268,time023
4320268,time001
3339175,time022
3339175,time001
5686791,time026
5686791,time001
2651435,time027
2651435,time001
1573342,time019
1573342,time001
4461837,time020
4461837,time001
1448778,time027
1448778,time001
4297679,time021
4297679,time001
5628464,time021
5628464,time001
3346187,time025
3346187,time001
2126078,time025
2126078,time001
2595179,time022
2595179,time001
3372418,time022
3372418,time001
5691612,time025
5691612,time001
5391447,time021
5391447,time001
4269861,time023
4269861,time001
3765464,time026
3765464,time001
2278359,time019
2278359,time001
3865853,time021
3865853,time001
4819492,time020
4819492,time001
4014115,time019
4014115,time001
1355057,time019
1355057,time001
2450490,time020
2450490,time001
4173167,time019
4173167,time001
5118992,time018
5118992,time001
5279009,time022
5279009,time001
5613312,time021
5613312,time001
4751478,time026
4751478,time001
5032869,time023
5032869,time001
2747535,time022
2747535,time001
3332368,time017
3332368,time001
3661718,time023
3661718,time001
4787835,time024
4787835,time001
5466517,time022
5466517,time001
2083297,time024
2083297,time001
4383692,time020
4383692,time001
2399884,time018
2399884,time001
5431436,time024
5431436,time001
5125528,time024
5125528,time001
4809846,time023
4809846,time001
4832772,time021
4832772,time001
3219809,time026
3219809,time001
1696665,time025
1696665,time001
3460344,time001
3460344,time013
3154374,time021
3154374,time001
2005318,time023
2005318,time001
3269992,time001
3269992,time016
1245563,time027
1245563,time001
3279850,time023
3279850,time001
1540450,time018
1540450,time001
1306692,time022
1306692,time001
2883463,time020
2883463,time001
1984706,time023
1984706,time001
2460958,time030
2460958,time001
4253549,time019
4253549,time001
2815686,time023
2815686,time001
3384044,time022
3384044,time001
2927063,time020
2927063,time001
4728841,time026
4728841,time001
4471752,time025
4471752,time001
5823537,time024
5823537,time001
1845662,time020
1845662,time001
3234291,time018
3234291,time001
5740171,time001
1815653,time022
1815653,time001
5428036,time022
5428036,time001
4477927,time024
4477927,time001
4959279,time025
4959279,time001
1166615,time027
1166615,time001
5664319,time023
5664319,time001
5666322,time018
5666322,time001
4732718,time025
4732718,time001
1144345,time022
1144345,time001
4750978,time024
4750978,time001
4405537,time021
4405537,time001
2730379,time001
2976456,time001
2976456,time016
3860384,time018
3860384,time001
1064412,time019
1064412,time001
2469602,time023
2469602,time001
4040849,time024
4040849,time001
2365319,time023
2365319,time001
4715093,time001
4715093,time016
1163017,time015
1163017,time001
3392080,time021
3392080,time001
2998762,time020
2998762,time001
1211874,time022
1211874,time001
2641631,time020
2641631,time001
4582672,time024
4582672,time001
4751712,time031
4751712,time001
2867044,time027
2867044,time001
3237271,time024
3237271,time001
2090986,time022
2090986,time001
3239827,time021
3239827,time001
1343832,time024
1343832,time001
3256768,time020
3256768,time001
3486172,time018
3486172,time001
5370115,time030
5370115,time001
1539727,time024
1539727,time001
1739738,time024
1739738,time001
1687406,time020
1687406,time001
3564101,time025
3564101,time001
3542176,time017
3542176,time001
2548666,time023
2548666,time001
6001767,time001
6001767,time028
1580831,time001
1580831,time028
2422558,time022
2422558,time001
2970429,time021
2970429,time001
1997878,time021
1997878,time001
5321622,time023
5321622,time001
5807575,time025
5807575,time001
3122672,time021
3122672,time001
1514841,time023
1514841,time001
2833554,time024
2833554,time001
4639492,time001
4639492,time016
1819996,time021
1819996,time001
2898123,time021
2898123,time001
3483353,time023
3483353,time001
4022841,time001
4022841,time028
3155094,time026
3155094,time001
5186847,time023
5186847,time001
1424158,time022
1424158,time001
1140162,time024
1140162,time001
5321252,time025
5321252,time001
1746625,time021
1746625,time001
4933141,time025
4933141,time001
3395962,time019
3395962,time001
4952395,time020
4952395,time001
4268189,time021
4268189,time001
2649868,time023
2649868,time001
1973418,time022
1973418,time001
2857899,time023
2857899,time001
5371165,time022
5371165,time001
3802705,time021
3802705,time001
1774066,time023
1774066,time001
4809003,time021
4809003,time001
2326242,time025
2326242,time001
3373167,time023
3373167,time001
5930871,time018
5930871,time001
1862300,time022
1862300,time001
4264812,time020
4264812,time001
3950688,time023
3950688,time001
4972840,time027
4972840,time001
5596253,time025
5596253,time001
2315589,time020
2315589,time001
5197159,time022
5197159,time001
4883136,time021
4883136,time001
1535748,time024
1535748,time001
2459524,time001
2496794,time021
2496794,time001
2632322,time001
2632322,time028
3092285,time017
3092285,time001
2097904,time025
2097904,time001
3503883,time026
3503883,time001
6018030,time021
6018030,time001
4483063,time021
4483063,time001
3972785,time025
3972785,time001
2492399,time019
2492399,time001
5157264,time024
5157264,time001
5365498,time022
5365498,time001
3963847,time023
3963847,time001
3898188,time025
3898188,time001
4008783,time022
4008783,time001
5574241,time020
5574241,time001
1645388,time025
1645388,time001
2933157,time020
2933157,time001
1770312,time017
1770312,time001
5484540,time022
5484540,time001
3549933,time017
3549933,time001
2525832,time022
2525832,time001
5909150,time021
5909150,time001
1946120,time024
1946120,time001
4270958,time022
4270958,time001
2895559,time019
2895559,time001
3704755,time022
3704755,time001
3079162,time025
3079162,time001
3075455,time022
3075455,time001
1747259,time020
1747259,time001
4471825,time026
4471825,time001
5440697,time022
5440697,time001
2950560,time015
2950560,time001
2611993,time025
2611993,time001
3033048,time022
3033048,time001
1532371,time024
1532371,time001
5085420,time001
5085420,time028
5626790,time026
5626790,time001
2872366,time025
2872366,time001
4491291,time020
4491291,time001
2608440,time026
2608440,time001
2184150,time019
2184150,time001
2236131,time019
2236131,time001
2784597,time022
2784597,time001
3497994,time023
3497994,time001
2577590,time024
2577590,time001
3142135,time025
3142135,time001
4247179,time022
4247179,time001
2498191,time024
2498191,time001
3316442,time017
3316442,time001
2596385,time023
2596385,time001
3470697,time024
3470697,time001
2817959,time022
2817959,time001
5070839,time018
5070839,time001
3631048,time021
3631048,time001
3316892,time023
3316892,time001
2375710,time001
2375710,time028
2920931,time021
2920931,time001
2717545,time019
2717545,time001
3771645,time021
3771645,time001
5446805,time021
5446805,time001
3935818,time022
3935818,time001
5120658,time029
5120658,time001
2727492,time021
2727492,time001
5772102,time019
5772102,time001
6009141,time001
6009141,time028
3786563,time032
3786563,time001
5585154,time021
5585154,time001
1153557,time026
1153557,time001
4278962,time024
4278962,time001
5562725,time020
5562725,time001
5297192,time023
5297192,time001
3250120,time020
3250120,time001
4468780,time001
4468780,time028
5317765,time020
5317765,time001
5507798,time027
5507798,time001
2386314,time024
2386314,time001
2722214,time024
2722214,time001
5518150,time025
5518150,time001
3087734,time025
3087734,time001
4274226,time020
4274226,time001
4441682,time025
4441682,time001
1402449,time026
1402449,time001
1862871,time022
1862871,time001
1890279,time020
1890279,time001
3848548,time023
3848548,time001
5355512,time025
5355512,time001
4074796,time001
4074796,time016
5157296,time027
5157296,time001
5647242,time023
5647242,time001
5335640,time027
5335640,time001
5266140,time020
5266140,time001
1066371,time026
1066371,time001
2596508,time022
2596508,time001
1676419,time023
1676419,time001
5671554,time011
5671554,time001
3746810,time022
3746810,time001
5960076,time026
5960076,time001
3382182,time022
3382182,time001
1528883,time021
1528883,time001
1613552,time025
1613552,time001
1409989,time023
1409989,time001
3365779,time001
3365779,time028
1765115,time019
1765115,time001
4267632,time024
4267632,time001
2421584,time022
2421584,time001
4803858,time021
4803858,time001
5450834,time018
5450834,time001
6015764,time019
6015764,time001
4405159,time001
4405159,time028
3088853,time019
3088853,time001
5769359,time024
5769359,time001
1332337,time019
1332337,time001
4270446,time022
4270446,time001
5472482,time026
5472482,time001
2295986,time025
2295986,time001
5217841,time022
5217841,time001
5409619,time018
5409619,time001
1444488,time024
1444488,time001
3848452,time001
3848452,time016
4661288,time026
4661288,time001
3505633,time022
3505633,time001
4127818,time022
4127818,time001
4428122,time023
4428122,time001
5352994,time024
5352994,time001
2851887,time020
2851887,time001
2965485,time023
2965485,time001
3229615,time027
3229615,time001
5788767,time022
5788767,time001
1539229,time020
1539229,time001
5580007,time018
5580007,time001
4660119,time022
4660119,time001
5714021,time020
5714021,time001
4872832,time022
4872832,time001
2737402,time024
2737402,time001
5184849,time001
5184849,time016
4339777,time001
5960828,time026
5960828,time001
5756901,time023
5756901,time001
1489120,time019
1489120,time001
3012642,time020
3012642,time001
2802355,time025
2802355,time001
3407509,time026
3407509,time001
2865152,time034
2865152,time001
3078720,time019
3078720,time001
4012052,time021
4012052,time001
5754332,time024
5754332,time001
1302390,time025
1302390,time001
1560502,time018
1560502,time001
3586083,time025
3586083,time001
3629930,time020
3629930,time001
2885707,time020
2885707,time001
2139438,time024
2139438,time001
4350613,time024
4350613,time001
2357384,time017
2357384,time001
4867000,time023
4867000,time001
5420978,time029
5420978,time001
5651520,time023
5651520,time001
3281005,time027
3281005,time001
4938583,time018
4938583,time001
4527991,time023
4527991,time001
5565822,time027
5565822,time001
3043618,time023
3043618,time001
3677177,time021
3677177,time001
3705078,time023
3705078,time001
1222081,time001
1222081,time013
5907531,time024
5907531,time001
2808262,time017
2808262,time001
5504842,time024
5504842,time001
6023884,time017
6023884,time001
3980225,time021
3980225,time001
3689971,time024
3689971,time001
3773916,time019
3773916,time001
5598500,time021
5598500,time001
2935214,time001
1759820,time019
1759820,time001
4905078,time026
4905078,time001
4008196,time024
4008196,time001
2299762,time020
2299762,time001
5681857,time026
5681857,time001
1196992,time022
1196992,time001
4917862,time024
4917862,time001
5768065,time021
5768065,time001
2413538,time024
2413538,time001
5918444,time019
5918444,time001
1494536,time025
1494536,time001
4547003,time029
4547003,time001
4196120,time027
4196120,time001
3294453,time023
3294453,time001
1704781,time021
1704781,time001
4470693,time020
4470693,time001
2061934,time026
2061934,time001
1232527,time017
1232527,time001
4102762,time018
4102762,time001
6017466,time020
6017466,time001
3156206,time027
3156206,time001
2500941,time022
2500941,time001
1724393,time022
1724393,time001
4279425,time019
4279425,time001
1000739,time001
1000739,time016
4430108,time025
4430108,time001
3508615,time027
3508615,time001
4057544,time021
4057544,time001
3561891,time022
3561891,time001
2888920,time019
2888920,time001
3243370,time022
3243370,time001
1585211,time024
1585211,time001
4616492,time023
4616492,time001
4250736,time021
4250736,time001
5120930,time024
5120930,time001
5793532,time029
5793532,time001
4887870,time023
4887870,time001
4440563,time001
4872308,time024
4872308,time001
1368295,time025
1368295,time001
4610018,time025
4610018,time001
5707508,time022
5707508,time001
2146117,time023
2146117,time001
2183704,time001
2183704,time028
3768579,time026
3768579,time001
3205925,time019
3205925,time001
2968982,time022
2968982,time001
3990787,time024
3990787,time001
2597882,time018
2597882,time001
1923699,time025
1923699,time001
2531820,time017
2531820,time001
2703911,time018
2703911,time001
4084535,time022
4084535,time001
4989462,time021
4989462,time001
2326090,time021
2326090,time001
3955280,time024
3955280,time001
1588867,time022
1588867,time001
2910640,time020
2910640,time001
4585931,time021
4585931,time001
2381868,time022
2381868,time001
5896051,time025
5896051,time001
5284815,time019
5284815,time001
1275453,time023
1275453,time001
5427555,time027
5427555,time001
4272042,time020
4272042,time001
5844505,time027
5844505,time001
4081930,time024
4081930,time001
1605234,time018
1605234,time001
4266792,time017
4266792,time001
1341996,time022
1341996,time001
1533397,time027
1533397,time001
2502928,time024
2502928,time001
6017000,time021
6017000,time001
4945228,time022
4945228,time001
5689161,time019
5689161,time001
1599435,time026
1599435,time001
4631858,time021
4631858,time001
3772015,time022
3772015,time001
3189630,time022
3189630,time001
4872063,time001
5772453,time019
5772453,time001
3438375,time021
3438375,time001
3025938,time025
3025938,time001
3517164,time029
3517164,time001
4821215,time025
4821215,time001
3945541,time021
3945541,time001
5183072,time023
5183072,time001
5748762,time021
5748762,time001
1694639,time001
1694639,time028
5193343,time022
5193343,time001
2587823,time024
2587823,time001
4020102,time020
4020102,time001
2554841,time026
2554841,time001
4158497,time022
4158497,time001
