case_id,trans
1225817,"[-0.30514474906695993, 0.4921950910422142, 3.346811263588665, 44.4724308620489, -0.4290164074647307, 0.6932357965374837, -2.377401679180304, 74.18323630869502, -0.1553241022170436, -0.09618159810771282, -0.00028312004902040475, 30.165256086060047, 0.0, 0.0, 0.0, 1.0]"
1233426,"[-0.3229495699255425, 0.34987905828589544, 3.6100375072740567, 51.266503727255156, -0.6520318667430992, 0.5912077916657537, -1.9487153107425157, 105.75272091876826, -0.12532186124862263, -0.1327581085417431, 0.02790149509003883, 32.232744807905036, 0.0, 0.0, 0.0, 1.0]"
1234559,"[-0.266358421212009, 0.4160353015792341, 3.5693787496781164, 72.32147236147199, -0.3160446643219408, 0.814485580875041, -1.997407319613974, 53.19485759355959, -0.16635726009402046, -0.0738781457455426, -0.06409452550561635, 30.68917747769798, 0.0, 0.0, 0.0, 1.0]"
1240767,"[-0.14712830606483324, 0.27152837324713436, 3.904590154079578, 76.38416561042408, -0.4495347523388244, 0.8381799893186429, -1.267807482797329, 63.28682400960001, -0.16096340194952108, -0.08641300428623973, -0.000943921488958203, 31.129467385504398, 0.0, 0.0, 0.0, 1.0]"
1297830,"[-0.43336548598407854, 0.38263994749673075, 3.349706035410706, 68.8090502923358, -0.5876376534836932, 0.5664704957511334, -2.371808978907271, 98.68205701986227, -0.12483064350248871, -0.13334009060759597, -0.015476340608047222, 30.973087950754724, 0.0, 0.0, 0.0, 1.0]"
1315163,"[-0.0539839076286957, 0.18658873851057664, 4.027073693914259, 70.03210284838582, -0.39805174707886937, 0.8969356928610852, -0.7903169807514239, 59.64488719709742, -0.16730472542482083, -0.07323458197523534, 0.01938890728750623, 34.75347290014284, 0.0, 0.0, 0.0, 1.0]"
1321180,"[-0.36783561905584883, 0.3531939292026405, 3.5313641952405033, 61.87286943572236, -0.6884491004988983, 0.5184032721433095, -2.0823681747043583, 118.91413421661474, -0.11419875296286708, -0.14227874520801742, 0.03935163561336401, 32.5387943613572, 0.0, 0.0, 0.0, 1.0]"
1321650,"[-0.2593143545736036, 0.03147462586522929, 3.962728422146839, 125.48248399273695, 0.023302526504545666, 0.9993817615081678, -0.10807740309143202, -3.0828766707151942, -0.1763915747140128, 0.002862169165728485, -0.1949156060711748, 20.61098769057437, 0.0, 0.0, 0.0, 1.0]"
1325835,"[-0.22983660082251653, 0.24272835437162568, 3.869105759724883, 49.61411711244568, -0.36520542576705367, 0.8761213748008813, -1.2919279501102425, 46.37456836634975, -0.16480831716575556, -0.07609617548369678, -0.08453928501611885, 28.613147509517894, 0.0, 0.0, 0.0, 1.0]"
1327922,"[-0.32336367337487953, 0.3539675148327448, 3.6026883303569197, 72.39145030026272, -0.39726163852656327, 0.7909388097244167, -1.9105980620955698, 56.888404707504854, -0.1569048504191283, -0.09118577559036216, -0.08635736172982943, 30.814572669270277, 0.0, 0.0, 0.0, 1.0]"
1328951,"[-0.3538276660582495, 0.4312856468912308, 3.4071177237613135, 63.339148986299904, -0.5015625465496517, 0.6614741707366919, -2.28898118632486, 82.21250179818918, -0.14422756810972845, -0.11209101909078767, -0.01329835098337519, 31.5534888121415, 0.0, 0.0, 0.0, 1.0]"
1338331,"[-0.2642178315700408, 0.2944139618539696, 3.4615042789868142, 86.50075820972006, -0.25888725597908196, 0.8163110773869967, -1.503157155571442, 48.90513820541746, -0.16766521306583032, -0.06634859771235735, -0.12058026283208885, 30.640024629024627, 0.0, 0.0, 0.0, 1.0]"
1342422,"[-0.3607957053171332, 0.5133322372411664, 3.1966173639836275, 45.73585735668594, -0.45211993668375694, 0.6339677916260051, -2.5757780032765645, 78.90618308735898, -0.14902742802055183, -0.10567368159567324, 0.0025161618817343204, 30.17697977576324, 0.0, 0.0, 0.0, 1.0]"
1357252,"[-0.5758936066108578, 0.3450382319759566, 3.0425934871399987, 87.89487455974779, -0.659940071231109, 0.33887157657375333, -2.752808570457009, 140.71774367239522, -0.08815273395415829, -0.15990688877647224, 0.024412932546570554, 33.706372891803404, 0.0, 0.0, 0.0, 1.0]"
1367876,"[-0.3649822224914182, 0.3859384157303451, 3.4782012694206954, 65.91197102739207, -0.37141675336762503, 0.7741220767402278, -2.1044618463701776, 58.948356837094764, -0.15596805696476967, -0.09167198220990606, -0.10439758838425461, 29.213849735614453, 0.0, 0.0, 0.0, 1.0]"
1368696,"[-0.24885457687546061, 0.4897996837837689, 3.4302110628274676, 52.220300907414135, -0.24876424598854097, 0.8014394672808547, -2.232791532918289, 46.62472985429173, -0.1710089462002552, -0.0627012473847707, -0.05819793046967492, 30.194600898898965, 0.0, 0.0, 0.0, 1.0]"
1382291,"[0.014032033856030133, 0.17936023672714024, 4.038279049504568, 63.22343652683489, -0.27583499326737876, 0.9463011796816657, -0.6921859864007113, 40.630128246006024, -0.17558605253379897, -0.04913845326816832, 0.0470642699110204, 32.93085934523946, 0.0, 0.0, 0.0, 1.0]"
1389249,"[0.04787077461940472, 0.24185228845988824, 3.978539695344855, 47.95577550893016, -0.3843184814580022, 0.9000110474382244, -0.8441212892714358, 49.68657606809698, -0.16843473970567274, -0.06624642305899527, 0.10202441099817315, 31.475715958170493, 0.0, 0.0, 0.0, 1.0]"
1391183,"[-0.3214585213031304, 0.44765453062932853, 3.4255461368348032, 56.14601151743308, -0.47616811646114626, 0.6852624725151855, -2.262291972058465, 75.97331350675417, -0.14953211120688192, -0.1049520595745917, -0.0053434841358048265, 29.439103777009873, 0.0, 0.0, 0.0, 1.0]"
1409859,"[0.07998350176595628, 0.33037182898991585, 3.7596678160086197, 51.29897502901056, -0.3472642076928602, 0.8681411765380205, -1.1611526009313518, 46.7829719113454, -0.17010249160751056, -0.056555337239804354, 0.14474259101280262, 30.031801010394503, 0.0, 0.0, 0.0, 1.0]"
1431979,"[-0.2475197375164358, 0.40704582777224363, 3.6094760468279383, 61.83327544408782, -0.4318653050350864, 0.7659835492874613, -1.954905786660755, 61.551964690660554, -0.15845084214970268, -0.09090351580890496, -0.010355306014169154, 30.266882803422206, 0.0, 0.0, 0.0, 1.0]"
1434524,"[-0.2856625314194004, 0.382697721328769, 3.6068876365868254, 60.42051838087224, -0.47042185066079034, 0.742748969420091, -1.9560502709871472, 78.13615678083826, -0.1525344183198144, -0.10037548351769639, -0.02410963537691017, 32.97638066251027, 0.0, 0.0, 0.0, 1.0]"
1438534,"[-0.3902125463917875, 0.48951251637284415, 3.2013466438939773, 58.56392261191205, -0.43368947606285263, 0.6493958226099089, -2.564388739861246, 77.6592888942515, -0.1483803137278647, -0.10631729654513304, -0.030829474080308193, 32.11553006856556, 0.0, 0.0, 0.0, 1.0]"
1475784,"[-0.4035028617986637, 0.34525596221964683, 3.4785507112176277, 47.64983968712377, -0.49493537410507865, 0.6965352105662564, -2.1326744912181774, 69.32493855254157, -0.14059291917330857, -0.11491289860287499, -0.08263091070430605, 29.237779917611963, 0.0, 0.0, 0.0, 1.0]"
1477034,"[-0.28762427260597456, 0.42806722802192604, 3.504626159553806, 62.23839455564193, -0.37751720274550127, 0.7679861254131897, -2.1030635147152346, 58.349035973693006, -0.16068262689115334, -0.08624967904511006, -0.04470087435543299, 28.678480653847664, 0.0, 0.0, 0.0, 1.0]"
1478989,"[-0.461877446735173, 0.4538433350126678, 3.1283490260080655, 51.74403224682096, -0.5724331325732923, 0.503737816355749, -2.6559767592663657, 100.79228806066362, -0.12377178823484349, -0.1342849944393824, 0.020347369137350142, 31.23391824113122, 0.0, 0.0, 0.0, 1.0]"
1500994,"[-0.46537940762940505, 0.4721450832605778, 3.0734715340721377, 67.2921615095804, -0.39258863206086386, 0.6479791845698887, -2.6794418207192225, 71.49077785576591, -0.14492650533345847, -0.1091885789075304, -0.08714803252484031, 31.35335568271161, 0.0, 0.0, 0.0, 1.0]"
1511089,"[-0.10308106149790167, 0.19534535734406885, 4.003872564113208, 54.73071332410166, -0.3882147875353863, 0.8948592558545668, -0.9042425120585155, 50.50336790893952, -0.1673070225090951, -0.07332023475643185, -0.012305312584641548, 30.219351833673908, 0.0, 0.0, 0.0, 1.0]"
1513927,"[-0.3849522784986046, 0.5163062060234235, 3.1405657207710584, 54.661312817703305, -0.36287096084615184, 0.6774640723838696, -2.6266214301298096, 67.22332791228897, -0.15503424219732875, -0.0957123435943911, -0.05507910689592261, 28.920967409447584, 0.0, 0.0, 0.0, 1.0]"
1517573,"[-0.5538448730347441, 0.5440984067041761, 2.587334594982423, 49.7184690322636, -0.3383231841063984, 0.5445763877748803, -3.150569347665507, 71.47492348310803, -0.13898950707495938, -0.11660772240214337, -0.08814730119114236, 28.09151902235922, 0.0, 0.0, 0.0, 1.0]"
1518837,"[-0.08587097628040823, 0.29791577291585425, 3.7386420157206275, 62.68201397231397, -0.20088199547121727, 0.8884276933608216, -1.2708786416802567, 31.72750778657347, -0.17791926717029874, -0.04136034995130729, -0.01332606686311429, 27.558001185984214, 0.0, 0.0, 0.0, 1.0]"
1523389,"[-0.014780084907567404, 0.14593131797031442, 4.06086204766939, 61.42963190169976, -0.3842444695018676, 0.9124995318202703, -0.5762127460581118, 52.57687568880007, -0.16864565077146199, -0.06981826094816042, 0.031939860974094514, 35.03708552524516, 0.0, 0.0, 0.0, 1.0]"
1536533,"[-0.2601003971510343, 0.4360442818192344, 3.536757768523268, 75.17544916605395, -0.4573780250870764, 0.7301433175554863, -2.083986460641565, 78.42378238659519, -0.1553586391958936, -0.09611006954519631, 0.007144879196728751, 33.82315386431121, 0.0, 0.0, 0.0, 1.0]"
1557869,"[-0.3792049956667295, 0.5259101861410411, 3.125456194979477, 63.43545199075116, -0.39604312745762194, 0.6513606485112372, -2.656961855055833, 75.50282980750006, -0.15278073090989974, -0.0999224498582507, -0.029037076550717557, 31.033558706845657, 0.0, 0.0, 0.0, 1.0]"
1564487,"[-0.2616916330175619, 0.6858382340796051, 2.5371980472601905, 27.554135870431494, -0.2513959792673706, 0.5651730060117017, -3.0117188771250682, 71.72695586582424, -0.1691256195818507, -0.0689154804385077, 0.019967918636567106, 34.45678293963243, 0.0, 0.0, 0.0, 1.0]"
1573307,"[-0.06023190856127586, 0.14589382692912597, 4.053803789704219, 79.75390559706015, -0.12122242558874852, 0.9808698691722415, -0.625287305002307, 13.81173185478471, -0.1810108499291225, -0.02354484271755148, -0.03104554551878952, 26.948811784021505, 0.0, 0.0, 0.0, 1.0]"
1573593,"[-0.08290389476596452, 0.1567678679050993, 4.040193683324828, 66.50740403703576, -0.31189548137194495, 0.9338552008984655, -0.7185447172004557, 39.96811073203547, -0.1729169013385043, -0.05872873623743228, -0.021393785550464218, 30.19899310700688, 0.0, 0.0, 0.0, 1.0]"
1583250,"[-0.18920054906672443, 0.0651293409076993, 4.02223884622131, 82.26998652096489, -0.24065512694181926, 0.9642919418721287, -0.45392702417421993, 22.484572820328836, -0.17392157207475836, -0.04689865751956445, -0.12507814129428393, 26.594180913945607, 0.0, 0.0, 0.0, 1.0]"
1584530,"[-0.2921304829549621, 0.24495071792612302, 3.7952242153363094, 85.93637640426775, -0.48821383658677536, 0.793011342405118, -1.4959185939146724, 64.9019908921118, -0.1502423055371249, -0.101904365006295, -0.08405583153460693, 29.338954128481365, 0.0, 0.0, 0.0, 1.0]"
1594504,"[-0.510726412464072, 0.6524588912323714, 2.2984188224284017, 47.20385906078478, -0.34779858784987017, 0.43874824987407335, -3.40151718893508, 86.63333465519503, -0.14364246801579778, -0.11288511139200404, 0.0021329713040849603, 28.966829092187204, 0.0, 0.0, 0.0, 1.0]"
1596026,"[-0.09904803379095964, 0.22471282439476534, 3.9795517906886726, 74.99178754411054, -0.3831144395539465, 0.8904614156521287, -1.0081068667391395, 53.61792569343696, -0.16778007232827166, -0.07229232569723099, -0.001580793250056674, 32.81447524064317, 0.0, 0.0, 0.0, 1.0]"
1598687,"[-0.2900887230902138, 0.5187898329751991, 3.3013707419448033, 44.895479842204466, -0.5050117215737886, 0.6308016339083485, -2.4184577165782706, 89.15873282380039, -0.14851116047521154, -0.10541619989457549, 0.05925488736949602, 30.7892853420569, 0.0, 0.0, 0.0, 1.0]"
1600989,"[-0.18969003624544986, 0.3506627272605617, 3.7648940041903503, 62.93284575203839, -0.34612098200378116, 0.8502033621685263, -1.6284725136254592, 49.69790091929238, -0.16786012172320594, -0.07173779882556876, -0.029927538211278384, 29.594538640995218, 0.0, 0.0, 0.0, 1.0]"
1602281,"[-0.514621236020886, 0.4603909586151964, 2.9694566748558477, 79.83307341633001, -0.4385968011936349, 0.583537105569166, -2.8057822348958297, 90.011919478114, -0.13459822288364243, -0.12221618891180931, -0.07378093858871868, 32.985155680135335, 0.0, 0.0, 0.0, 1.0]"
1604248,"[-0.430153807241802, 0.4370602679120753, 3.2427577023650276, 51.29590940491551, -0.5321756146432159, 0.5840223371570029, -2.5163187076548077, 92.53515091488381, -0.13322226341240256, -0.12496691496134764, -0.013969961347577092, 31.5452392772928, 0.0, 0.0, 0.0, 1.0]"
1617239,"[-0.27391747549335776, 0.2944152558952227, 3.758701520535787, 66.12281347886871, -0.48045217235720766, 0.7828022198510435, -1.6234558125512315, 68.26480332873953, -0.15220966263925684, -0.10015477569479965, -0.05472806895167339, 30.712110053393282, 0.0, 0.0, 0.0, 1.0]"
1618937,"[-0.1687939233659049, 0.30298026925563365, 3.7490165173915484, 75.20372416558214, -0.44594592712453845, 0.7969359527534229, -1.4238107895106333, 70.5082324291929, -0.15945005288921582, -0.08917479805346441, 0.0004675370652289371, 33.929464424123495, 0.0, 0.0, 0.0, 1.0]"
1619489,"[-0.3826802095520958, 0.5254109369677127, 3.1197276626410586, 46.42184931558853, -0.34355026523007337, 0.6826338780104224, -2.6477648252987485, 63.63744127004756, -0.1566823931823683, -0.09278797372898202, -0.06054405655076176, 28.845861057183264, 0.0, 0.0, 0.0, 1.0]"
1639287,"[-0.4254267488393697, 0.5123948980488948, 3.0623817433495155, 61.51428857949015, -0.21482165329688574, 0.7435413006310224, -2.5996330222216923, 45.97356949768512, -0.16060967519075586, -0.07849344402227358, -0.15468664944866448, 29.900276191919012, 0.0, 0.0, 0.0, 1.0]"
1641560,"[-0.15049792249485805, 0.25955319035592994, 3.9161339763036436, 73.19922772102026, -0.3531438929724966, 0.8871435251337736, -1.2196553953536968, 52.754541577621765, -0.15854824359287567, -0.06551971777695058, -0.029502092912988703, 31.977078414212393, 0.0, 0.0, 0.0, 1.0]"
1658905,"[-0.3406398042851716, 0.4767430844992585, 3.326733811221665, 64.29692632152911, -0.4779476349901152, 0.6544240525010904, -2.405330793342225, 77.94613483105978, -0.14791653002381264, -0.10722109921555477, 0.0037015119111824184, 32.44193615415168, 0.0, 0.0, 0.0, 1.0]"
1659409,"[-0.4186905255054118, 0.38438479673023174, 3.3776775345278702, 62.50273159474351, -0.4348494819212253, 0.7105214821007427, -2.271161045072859, 73.57017340358632, -0.1456510582132047, -0.1076812037764663, -0.09775431225533042, 31.4323812004614, 0.0, 0.0, 0.0, 1.0]"
1664881,"[-0.08606527505426151, 0.10874732515478017, 4.065592663256384, 72.44899879558425, -0.3384157617728325, 0.9317317604010574, -0.5407536686997884, 39.3256002172849, -0.17119230371037877, -0.06329964277534263, -0.03254095601452164, 28.081973818602236, 0.0, 0.0, 0.0, 1.0]"
1668674,"[-0.49059263221649585, 0.49932715172287906, 2.931719481624202, 59.6134225122443, -0.35915940265715574, 0.6308180949612411, -2.823612882072318, 70.02841033328949, -0.1450447466808599, -0.10850462552589947, -0.09760248834775799, 29.55345419823484, 0.0, 0.0, 0.0, 1.0]"
1670427,"[-0.3210576717212488, 0.3647866262576668, 3.58794545037707, 57.148196203875855, -0.5039115744685515, 0.7155657742326547, -1.9860262878702568, 77.60285406065674, -0.1464954448815257, -0.10883562774717091, -0.03443825419769374, 33.486629524847125, 0.0, 0.0, 0.0, 1.0]"
1675202,"[-0.14342934461848222, 0.2661518745249343, 3.91313905287532, 77.20304799630503, -0.1970908047798362, 0.9361842573921751, -1.1948661402160332, 22.96238104908275, -0.17718169981682644, -0.041948561636637155, -0.061365155502089076, 27.372242080248135, 0.0, 0.0, 0.0, 1.0]"
1682008,"[-0.26933445962565805, 0.46688907223993875, 3.369380710315076, 64.48121064757618, -0.4045285776685711, 0.7141387321878444, -2.212709936861684, 70.87634499834488, -0.158746259262812, -0.09041943153456264, -0.0027009739009993482, 33.78858399937176, 0.0, 0.0, 0.0, 1.0]"
1687645,"[-0.30461162999134017, 0.40811017642130004, 3.5330504478762466, 62.96609937832564, -0.5493017266451465, 0.6628881818304574, -2.0886350334022747, 86.20700072746635, -0.1421575623083969, -0.11467860353293716, 0.016689129072249682, 30.375449510029206, 0.0, 0.0, 0.0, 1.0]"
1688827,"[-0.15318951530883662, 0.17631881593470855, 3.991710555102922, 88.68503573969132, -0.32338528158833996, 0.9208310328005589, -0.8946475758360966, 49.09138901499071, -0.17059539115784633, -0.06354486285268883, -0.06303206224176353, 34.354310570124724, 0.0, 0.0, 0.0, 1.0]"
1697036,"[-0.1529629541169631, 0.18697299163571973, 3.98367828660906, 87.042077863687, -0.2574573019127199, 0.9404902929452451, -0.9105335794490872, 27.05002647222517, -0.17430780290715459, -0.05184056514254054, -0.0717919586776131, 25.244277274132763, 0.0, 0.0, 0.0, 1.0]"
1702745,"[-0.07612533482671124, 0.23929103901963553, 3.9737268036685642, 69.42883923899262, -0.3787682658352529, 0.8910664652556651, -1.026605432631146, 46.11949046946343, -0.16850724852230348, -0.07045873489555153, 0.017102336912303225, 30.303965392862704, 0.0, 0.0, 0.0, 1.0]"
1707301,"[-0.09168743367816018, 0.26959840546648, 3.935296887198329, 73.60180774363168, -0.25247322762354835, 0.9249039606870486, -1.1670058664852923, 31.277269055799394, -0.17597836981535858, -0.04897695482263159, -0.012551769860948967, 27.15242014904889, 0.0, 0.0, 0.0, 1.0]"
1707597,"[-0.19198576224239908, 0.5383938674103894, 3.3685015582308915, 42.8614934254893, -0.3024877954133447, 0.7629175705223905, -2.3456034374986685, 55.06779377101212, -0.1705648350731384, -0.0653846636690805, 0.0122911970341298, 31.369179262803186, 0.0, 0.0, 0.0, 1.0]"
1708915,"[-0.23381884995477625, 0.39283826791201554, 3.651162284800374, 89.85565941329492, -0.41718037736378866, 0.7857230422605676, -1.874985855403875, 63.9453355085417, -0.19857178364321793, -0.10803846151505932, -0.018408825613669435, 39.63556166227784, 0.0, 0.0, 0.0, 1.0]"
1723537,"[-0.33977720097431674, 0.5742294329805643, 3.057834077520066, 50.319336541271596, -0.37272660493948234, 0.6449130646103954, -2.73905050004757, 65.6743170975546, -0.15775418636575453, -0.09213702386026519, -0.003822126715439215, 28.976149752001298, 0.0, 0.0, 0.0, 1.0]"
1753358,"[-0.3798879955544706, 0.643818096623608, 2.7267828583398765, 38.753790643527935, -0.31228268755209126, 0.5866329351104891, -3.0675445175213465, 75.0958813568672, -0.15907503803400788, -0.08975382698945515, -0.01635117325280041, 30.072243357754175, 0.0, 0.0, 0.0, 1.0]"
1763668,"[-0.22404084734437713, 0.36982949493817496, 3.701645244307526, 68.19221690502079, -0.4641507018799662, 0.7730448445695635, -1.7750970259624943, 66.12788992589934, -0.15655886280157896, -0.09415795545268951, -0.0011527517708249837, 31.612250770445936, 0.0, 0.0, 0.0, 1.0]"
1768758,"[-0.22481871897706396, 0.37304900387637147, 3.6954002631819116, 70.26159600184144, -0.4303043609635306, 0.7908396145877404, -1.7866657264507484, 65.72520703735253, -0.15971682260965586, -0.08864004629676292, -0.012953203575549715, 31.81137069173783, 0.0, 0.0, 0.0, 1.0]"
1769840,"[-0.3625549713697897, 0.527413790617922, 3.15435082321873, 50.00672267982674, -0.4037324692744315, 0.6541992813710885, -2.62551854842146, 68.45957524507048, -0.15345652917515523, -0.09903506728605667, -0.018186847284052784, 29.973491612181704, 0.0, 0.0, 0.0, 1.0]"
1772804,"[-0.33418219566794777, 0.5079668765487281, 3.2592066732733853, 40.37881502020545, -0.4234593068141698, 0.671611078685923, -2.4958544300733396, 68.35357572595713, -0.15383132284487253, -0.09853677264697545, -0.0070028716978284816, 27.772967838065995, 0.0, 0.0, 0.0, 1.0]"
1784160,"[-0.39211359156148273, 0.5878375446062739, 2.9048728889628572, 37.413273391270835, -0.32775064673087806, 0.6294487233490328, -2.8923136883937173, 68.62729533192945, -0.1570331896955869, -0.09283955205972469, -0.040613453449255606, 28.87578541482369, 0.0, 0.0, 0.0, 1.0]"
1787385,"[-0.5309601732597957, 0.39445062201472547, 3.0789197541841364, 62.18866990173393, -0.6212661419358739, 0.4206999443775169, -2.7139479546724523, 113.51444409138838, -0.10528365500605845, -0.14925191989221015, 0.01626292769702337, 30.58124117464197, 0.0, 0.0, 0.0, 1.0]"
1801539,"[-0.4366198340372618, 0.7172922423580215, 2.2291800078394197, 40.800323484866766, -0.331949827489635, 0.4325386811725222, -3.441375087883885, 93.95972819674948, -0.15276096119464413, -0.099797839159287, 0.036937556512071215, 32.83717403761327, 0.0, 0.0, 0.0, 1.0]"
1806214,"[-0.12364390247479605, 0.22542402660881594, 3.9672568588225596, 67.32649481187103, -0.41531430780551837, 0.8727051156800526, -1.0538604047600908, 60.298722714470856, -0.16464886701391923, -0.07912280801288116, -0.010712131978970118, 33.64802685001966, 0.0, 0.0, 0.0, 1.0]"
1806277,"[-0.3927882232848299, 0.46092061825705416, 3.2668958618918413, 66.34943662041795, -0.48890212522278365, 0.6282541202250957, -2.484519940882647, 88.6899205098058, -0.14229983823842524, -0.11450725339639407, -0.01606931446937749, 33.201887155440325, 0.0, 0.0, 0.0, 1.0]"
1806303,"[-0.05774413548957668, 0.24502720078421486, 3.973053282992027, 51.10746673678676, -0.43644179554448886, 0.8656727510225275, -1.0066614303045418, 60.60864558897728, -0.16403532134770019, -0.07975356055512943, 0.042714445706471926, 32.36758101932104, 0.0, 0.0, 0.0, 1.0]"
1812507,"[-0.1938027501307538, 0.41686955320138996, 3.561920047601518, 62.79172349594525, -0.3389997994095612, 0.7987987840907228, -1.8864163479855887, 59.73197514736694, -0.16762455885230815, -0.07260819242581024, -0.010494234061554954, 32.526826937135276, 0.0, 0.0, 0.0, 1.0]"
1826141,"[0.19749276741151872, 0.3563923952001663, 3.7732321606307284, 13.667787740690223, 0.05628568446105935, 0.9630509429840365, -1.4796903364543967, 0.12782877735037346, -0.18518006880342514, 0.02245601232696356, 0.11929964033588475, 24.962694782883048, 0.0, 0.0, 0.0, 1.0]"
